Spanish translation of A_Values;";";A_Value;es
mejor que 100m;better than 100m
100m a 1km;100m to 1km
1km a 10km;1km to 10km
10km a 100km;10km to 100km
peor que 100km;worse than 100km
Negociación en curso;Under negotiation
Acuerdo oral;Oral agreement
Contrato firmado;Contract signed
Negociaciones fracasados;Negotiations failed
Contrato cancelado;Contract cancelled
Agricultura;Agriculture
Silvicultura;Forestry
Minería;Mining
Turismo;Tourism
Industria;Industry
Conservación;Conservation
Energía renovable;Renewable energy
Otro;Other
Informe de medios;Media report
Documento de investigación ;Research paper
Fuentes del gobierno;Government sources
Fuentes de la compañía;Company sources
Contrato;Contract
Información personal;Personal information
Otro;Other
Compra directa;Outright Purchase
Contrato de arrendamiento;Lease/Concession
Licencia de explotación;Exploitation License
;Accacia
;Alfalfa
;Algae
;Almond
;Aloe Vera
;Apple
;Aquaculture
;Bamboo
;Banana
;Barley
;Bean
;Bottle Gourd
;Buckwheat
;Cacao
;Canola
;Cashew
;Cassava (Maniok)
;Castor Oil Plant
;Cereals (no specification)
;Chat
;Cherries
;Chert
;Citrus Fruits
;Coconut
;Coffee Plant
;Corn (Maize)
;Cotton
;Croton
;Dill
;Eucalyptus
;Fig-Nut
;Flowers
;Fodder Plants
;Fruit
;Glucose Syrup
;Grains
;Grapes
;Herbs (no specification)
;Jatropha
;Lentils
;Mango
;Mariculture
;Mustard
;Oil Palm
;Oil Seeds
;Oleagionous plant
;Olives
;Onion
;Palms
;Papaya
;Passion fruit
;Peanut
;Peas
;Pepper
;Pine
;Pineapple
;Pomegranate
;Pongamia Pinnata
;Potatoes
;Pulses
;Rapeseed
;Rice
;Roses
;Rubber
;Rye
;Sea Cucumber
;Seed Production
;Sesame
;Sisal
;Sorghum
;Soya Beans
;Starch
;Sugar beet
;Sugar Cane
;Sun Flower
;Sweet Potatoes
;Tea
;Teak
;Teff
;Tomatoes
;Trees
;Vegetables
;Vineyard
;Wheat
;Yam
;Other
Acuicultura;Aquaculture
Abejas;Bees
Ganado;Cattle
Cabras;Goats
Maricultura;Mariculture
Cerdo;Pork
Aves de corral;Poultry
Oveja;Sheep
;Other
;Anthracite
;Asphaltite
;Barite
;Basalt
;Bauxite
;Building materials
;Carbon
;Clay
;Coal
;Cobalt
;Copper
;Diamond mining
;Emerald
;Feldspar
;Fluoride
;Gas
;Gold
;Granite
;Gravel
;Ilmenite
;Iron
;Jade
;Lead
;Limestone
;Manganese
;Marble
;Molybdenum
;Nickel
;Petroleum
;Phosphorous
;Platinum
;Pynions
;Pyrolisis Plant
;Salt
;Sand
;Silica
;Silver
;Stone
;Titanium
;Uranium
;Zinc
;Other
Uso doméstico;Domestic use
Exportación;Export
Agua subterránea;Ground water
Río;River
Lago;Lake
Agrocombustibles;Agrofuels
Cultivos alimentarios;Food crops
Ganado;Livestock
Productos agrícolas no alimentarios;Non-food agricultural commodities
madera y fibra;wood and fibre
Secuestro de carbono;carbon sequestration
Proyecto no se ha iniciado;Project not started
Fase de inicio;Startup phase
En operación;In operation
Proyecto abandonado;Project abandoned
En el contrato de arrendamiento;On the lease
Fuera del contrato de arrendamiento;Off the lease
Salud;Health
Educación;Education
Infraestructura productiva;Productive infrastructure
Carreteras;Roads
Desarrollo de capacidades;Capacity building
Apoyo financiero;Financial support
;Other
Estado;State
;Private (smallholders)
;Private (large-scale)
Comunidad;Community
;Other
;Commercial (large-scale) agriculture
Agricultura en pequeña escala;Smallholder agriculture
Pastores;Pastoralists
Silvicultura;Forestry
Conservación;Conservation
;Other
Tierras de cultivo;Cropland
Terrenos forestales;Forest land
Pradera;Grassland
Tierras marginales;Marginal land
