French translation of A_Values;";";A_Value;fr
;better than 100m
;100m to 1km
;1km to 10km
;10km to 100km
;worse than 100km
En cours de négociation;Under negotiation
Entente verbale;Oral agreement
Contrat signé;Contract signed
Échec des négociations;Negotiations failed
Contrat résilié;Contract cancelled
Agriculture;Agriculture
Sylviculture;Forestry
Exploitation minière;Mining
Tourisme;Tourism
Industrie;Industry
Conservation;Conservation
Énergies renouvelables;Renewable energy
Autre;Other
Rapport des médias;Media report
Document de recherche;Research paper
Sources gouvernementales;Government sources
Sources de l'entreprise;Company sources
Contrat;Contract
Informations personnelles;Personal information
Autre;Other
Achat;Outright Purchase
Contrat de location;Lease/Concession
Licence d'exploitation;Exploitation License
;Accacia
;Alfalfa
;Algae
;Almond
;Aloe Vera
;Apple
;Aquaculture
;Bamboo
;Banana
;Barley
;Bean
;Bottle Gourd
;Buckwheat
;Cacao
;Canola
;Cashew
;Cassava (Maniok)
;Castor Oil Plant
;Cereals (no specification)
;Chat
;Cherries
;Chert
;Citrus Fruits
;Coconut
;Coffee Plant
;Corn (Maize)
;Cotton
;Croton
;Dill
;Eucalyptus
;Fig-Nut
;Flowers
;Fodder Plants
;Fruit
;Glucose Syrup
;Grains
;Grapes
;Herbs (no specification)
;Jatropha
;Lentils
;Mango
;Mariculture
;Mustard
;Oil Palm
;Oil Seeds
;Oleagionous plant
;Olives
;Onion
;Palms
;Papaya
;Passion fruit
;Peanut
;Peas
;Pepper
;Pine
;Pineapple
;Pomegranate
;Pongamia Pinnata
;Potatoes
;Pulses
;Rapeseed
;Rice
;Roses
;Rubber
;Rye
;Sea Cucumber
;Seed Production
;Sesame
;Sisal
;Sorghum
;Soya Beans
;Starch
;Sugar beet
;Sugar Cane
;Sun Flower
;Sweet Potatoes
;Tea
;Teak
;Teff
;Tomatoes
;Trees
;Vegetables
;Vineyard
;Wheat
;Yam
;Other
Aquaculture;Aquaculture
Abeilles;Bees
Bovins;Cattle
Chèvres;Goats
Mariculture;Mariculture
Porc;Pork
Volaille;Poultry
Mouton;Sheep
;Other
;Anthracite
;Asphaltite
;Barite
;Basalt
;Bauxite
;Building materials
;Carbon
;Clay
;Coal
;Cobalt
;Copper
;Diamond mining
;Emerald
;Feldspar
;Fluoride
;Gas
;Gold
;Granite
;Gravel
;Ilmenite
;Iron
;Jade
;Lead
;Limestone
;Manganese
;Marble
;Molybdenum
;Nickel
;Petroleum
;Phosphorous
;Platinum
;Pynions
;Pyrolisis Plant
;Salt
;Sand
;Silica
;Silver
;Stone
;Titanium
;Uranium
;Zinc
;Other
Usage domestique;Domestic use
Exportation;Export
Eau souterraine;Ground water
Rivière;River
Lac;Lake
Agrocarburants;Agrofuels
Cultures vivrières;Food crops
Bétail;Livestock
Produits agricoles non alimentaires;Non-food agricultural commodities
bois et de fibres;wood and fibre
Séquestration du carbone;carbon sequestration
Projet n'a pas commencé;Project not started
Phase de démarrage;Startup phase
En fonctionnement;In operation
Projet abandonné;Project abandoned
Sur le bail;On the lease
Dehors du bail;Off the lease
Santé;Health
Éducation;Education
Infrastructure productive;Productive infrastructure
Routes;Roads
Renforcement des capacités;Capacity building
Soutien financier;Financial support
;Other
État;State
;Private (smallholders)
;Private (large-scale)
Communauté;Community
;Other
;Commercial (large-scale) agriculture
Petites exploitations agricoles;Smallholder agriculture
Éleveurs;Pastoralists
Sylviculture;Forestry
Préservation;Conservation
;Other
Terres cultivées;Cropland
Terres forestières;Forest land
Prairie;Grassland
Terres marginales;Marginal land
